Country,City,Latitude,Longitude,URL
Canada,Brampton,43.7315,-79.7624,https://geohub.brampton.ca/
Canada,Calgary,51.0447,-114.0719,https://data.calgary.ca/
Canada,Edmonton,53.5461,-113.4938,https://data.edmonton.ca/
Canada,Hamilton,43.2557,-79.8711,https://open.hamilton.ca/
Canada,Mississauga,43.589,-79.6441,https://data.mississauga.ca/
Canada,Montreal,45.5017,-73.5673,https://donnees.montreal.ca/en
Canada,Ottawa,45.4215,-75.6999,https://open.ottawa.ca/
Canada,Toronto,43.65107,-79.347015,https://open.toronto.ca/
Canada,Vancouver,49.2827,-123.1207,https://opendata.vancouver.ca/
Canada,Winnipeg,49.8951,-97.1384,https://data.winnipeg.ca/
France,Bordeaux,44.8378,-0.5792,https://data.bordeaux-metropole.fr/
France,Lille,50.6292,3.0573,https://opendata.lillemetropole.fr/
France,Lyon,45.7640,4.8357,https://data.grandlyon.com/portail/en/accueil
France,Marseille,43.2965,5.3698,https://opendata.marseille.fr/
France,Montpellier,43.6108,3.8767,https://data.montpellier3m.fr/
France,Nantes,47.2184,-1.5536,https://data.nantesmetropole.fr/
France,Nice,43.7102,7.2620,https://opendata.nicecotedazur.org/site
France,Paris,48.8566,2.3522,https://opendata.paris.fr/
France,Strasbourg,48.5734,7.7521,https://data.strasbourg.eu/
France,Toulouse,43.6047,1.4442,https://data.toulouse-metropole.fr/
South Korea,Busan,35.1796,129.0756,https://data.busan.go.kr/
South Korea,Daegu,35.8714,128.6014,https://data.daegu.go.kr/
South Korea,Incheon,37.4563,126.7052,https://data.incheon.go.kr/
South Korea,Seoul,37.5665,126.9780,https://data.seoul.go.kr/
United States,Chicago,41.8781,-87.6298,https://data.cityofchicago.org/
United States,Dallas,32.7767,-96.7970,https://www.dallasopendata.com/
United States,Houston,29.7604,-95.3698,https://data.houstontx.gov/
United States,Los Angeles,34.0522,-118.2437,https://data.lacity.org/
United States,New York,40.7128,-74.0060,https://data.cityofnewyork.us/
United States,Philadelphia,39.9526,-75.1652,https://www.opendataphilly.org/
United States,Phoenix,33.4484,-112.0740,https://www.phoenix.gov/opendata
United States,San Antonio,29.4241,-98.4936,https://data.sanantonio.gov/
United States,San Diego,32.7157,-117.1611,https://data.sandiego.gov/
